Hash,Author,Date,Message,Hashes_of_parents,Is_merge_commit,List_of_modified_files
17e620a11c7b0aedfc35e5b1347ddeaa1a7940b3,Aymeric Augustin,2013-04-01T14:45:38+02:00,Fix tests after making a function private.,['36b9ff23fdbc0300ee176c9f7549fdc75bc714ae'],False,['test_http.py']
985f82defd1fc702cf90f57d639cc36d02d37049,Aymeric Augustin,2013-04-01T19:18:07+02:00,Fix description on PyPI.,['17e620a11c7b0aedfc35e5b1347ddeaa1a7940b3'],False,['setup.py']
b548a4fcefdf1aa922ae86d10993c8214b6ec939,Aymeric Augustin,2013-04-02T14:21:53+02:00,Fix shortest representation of message length.,['726227c7eb99437410a8b3f930e7fad28536bea2'],False,['framing.py']
a317e1999e84ba409098a49379c6f3caa64aa530,Aymeric Augustin,2013-04-03T16:27:47+02:00,"Track states and close connections properly.

Decode fragmented text messages incrementally.",['e1fdc9c424f8f4366da26d984162bb4c104a2fe4'],False,"['index.rst', 'client.py', 'framing.py', 'server.py']"
8c72e89597496643eec1c4f27f68364a22ed2e60,Aymeric Augustin,2013-04-05T13:29:16+02:00,Implement codes and reasons for the Close frames.,['a317e1999e84ba409098a49379c6f3caa64aa530'],False,"['index.rst', 'framing.py']"
d4de37fb7a17690813fa9c36130c2c89110fe5a9,Aymeric Augustin,2013-04-05T17:32:58+02:00,"Fix my English.

Thanks Kevin P. Fleming.",['7459ae9b1fee11a8faa84c2d729ef2bc2f7fdf84'],False,"['README.rst', 'index.rst']"
6175b99df13bbec0561c8dd9f8f544c99245de2a,Preston Holmes,2013-04-05T09:33:19-07:00,fix external version in setup.py,['d4de37fb7a17690813fa9c36130c2c89110fe5a9'],False,['setup.py']
aa11ff74d99637d85fc703b8458f202b2ad0ade2,Aymeric Augustin,2013-04-05T09:44:48-07:00,"Merge pull request #1 from ptone/fix-version

fix external version in setup.py","['d4de37fb7a17690813fa9c36130c2c89110fe5a9', '6175b99df13bbec0561c8dd9f8f544c99245de2a']",True,[]
7f256b59e994e869852e08a766016b04842406cd,Aymeric Augustin,2013-04-30T17:19:17+02:00,The result of close() doesn't matter in general.,['b0970a90e6b94948947b1cfdb81adc5b19713fd9'],False,['framing.py']
443f912d54ba6726d9387e92db2bdd49716767f9,Aymeric Augustin,2013-05-27T00:15:11+02:00,"Redesign protocol handling around a task.

It used to be driven by coroutines reading frames. That made it
impossible to call close() while recv() was running without ending up
with two coroutines attempting to read a frame in parallel.

The new design delegates the handling of incoming frames to a task.
Received messages are added to a queue. This doesn't change the external
API, except that it removes the need for wait_close().",['a2ab56c2a33c433f03cbbccd2a0091efe9a227ee'],False,"['test_client.py', 'test_server.py', 'client.py', 'client.py', 'protocol.py', 'server.py', 'test_client_server.py', 'test_protocol.py']"
d029016c66904f311d6b198711e85f73f7a7ca33,Aymeric Augustin,2013-08-01T11:42:21+02:00,"Close connection cleanly after cancelling recv().

Tulip's DataBuffer might not be suitable for our needs.",['443f912d54ba6726d9387e92db2bdd49716767f9'],False,"['protocol.py', 'test_protocol.py']"
6d8d456234651c11aa4ba699092e354df51276aa,Aymeric Augustin,2013-08-01T15:01:08+02:00,"Avoid duplicate logging.

If a task ends with an exception, and nothing recovers it, Tulip already
logs the exception.",['a8ec99f1df125966c6caf78081c2d6cfe3b9b453'],False,"['protocol.py', 'test_protocol.py']"
8b7d614952d9fe841f6481068b6188c55001c993,Aymeric Augustin,2013-10-13T10:50:58+02:00,Improve error handling in client and server.,['1cc8e69ecc804db8345a7651b81df2cd5c1f7e5d'],False,"['client.py', 'server.py', 'test_client_server.py']"
00513fd4e58eb8bd211f45b3c6d54ccbc831d26a,Aymeric Augustin,2013-10-22T23:40:40+02:00,Copy-paste failure.,['a814fd62462f1ab9c9d3c2fefed370b3f8308bbe'],False,['LICENSE']
54cf805c5b3b5c15a94c7f1cfc9923cd1dccfd94,Aymeric Augustin,2013-10-24T08:39:08+02:00,"Symlink to README.rst was removed.

Fix #4.",['38fe9d1e0c4038128838971028e5a722dc5c85cb'],False,['setup.py']
21a14088dd198e93f139f0d374321a243cd67553,Stein Magnus Jodal,2013-11-14T21:52:36+01:00,Fix reference to 'websockets.protocols' in plural,['1aa31d0545c877aea22d3b4452a4b92dbd631306'],False,['protocol.py']
38337df9d7b516b493c40860440593bf4066268a,Aymeric Augustin,2013-11-14T12:58:39-08:00,"Merge pull request #6 from jodal/patch-1

Fix reference to 'websockets.protocols' in plural","['1aa31d0545c877aea22d3b4452a4b92dbd631306', '21a14088dd198e93f139f0d374321a243cd67553']",True,[]
53f61fa9c4c3ba10789a1de86aa7a69b8f623414,Aymeric Augustin,2013-11-22T18:48:35+01:00,"Don't rely on utf-8 being the default system encoding.

Fix #7.",['38337df9d7b516b493c40860440593bf4066268a'],False,['setup.py']
a13be1f1f2f1af137d1ab256997b1a75079cd59c,Aymeric Augustin,2013-11-29T17:07:08+01:00,"Support ping cancellation.

Fix #8.",['53f61fa9c4c3ba10789a1de86aa7a69b8f623414'],False,"['protocol.py', 'test_protocol.py']"
2bf6a14464a97ffeabad8890b11bc403bd59c91c,Aymeric Augustin,2014-02-06T23:30:46+01:00,"Take advantage of StreamReaderProtocol.

This is a step towards supporting flow control.

Refactor connection termination to better follow the specification:
close the TCP connection properly with shutdown() then close().",['181c8a392c795da19de4f9a8462320ff990a316a'],False,"['client.py', 'protocol.py', 'server.py', 'test_protocol.py']"
b198151cc6a8e35d34fcc751d02534973855f672,Aymeric Augustin,2014-02-08T20:05:55+01:00,"Add flow control. Fix #10.

Invoke drain() after each write.",['2bf6a14464a97ffeabad8890b11bc403bd59c91c'],False,"['test_client.py', 'test_server.py', 'index.rst', 'client.py', 'server.py', 'protocol.py', 'test_client_server.py', 'test_protocol.py']"
c9587401f3ba5a890d3d75078c367bbc0b6ac4a3,Aymeric Augustin,2014-02-16T19:36:02+01:00,Fix ResourceWarnings under Python 3.4.,['024c4a5c98e5f17805bae271c76eeb63252c1ae8'],False,"['client.py', 'server.py', 'test_client_server.py']"
13bf3354736f219e739dc78e5f5c0cc2ab3058c7,Aymeric Augustin,2014-04-06T09:58:49+02:00,Fix a test that wasn't running.,['bfac179d417b44e3678fa4a6fb1ab67cbb3cbe1a'],False,['test_client_server.py']
ad5cb55dfe97d1b107422ca8bd1e7a725ac3b331,Aymeric Augustin,2014-04-15T23:50:56+02:00,"Incorrect assertion when closing SSL connections.

Fix #22.",['d744d63ceb45e7de8b1e5a2e39ed9fd39d26fbe6'],False,"['client.py', 'protocol.py', 'server.py']"
18a809ca6ac546e4a3c0e5ca3540f80bdf42afb9,Aymeric Augustin,2014-04-16T00:11:16+02:00,Fix some resource warnings in tests.,['ad5cb55dfe97d1b107422ca8bd1e7a725ac3b331'],False,['test_client_server.py']
8d0ebc241c3d318b698e45c64523ee10eba61b68,Aymeric Augustin,2014-04-26T13:59:24+02:00,"Make error handling more robust in the server.

Fix #23.",['18a809ca6ac546e4a3c0e5ca3540f80bdf42afb9'],False,['server.py']
415b3d560cf3691d465189e07339157e2bff598b,Aymeric Augustin,2014-05-01T22:41:03+02:00,"No more wheels, fix #25.",['481986fd209c5d0667195390b5f1f56f2ee899a7'],False,['setup.cfg']
90e0494f53c8670a0bd233b1811ea3b596843a5c,Aymeric Augustin,2014-05-17T21:43:57+02:00,"Close connection properly when the socket dies.

This avoids flooding logs with messages output by asyncio:
""socket.send() raised exception.""

Fix #23 (hopefully).",['415b3d560cf3691d465189e07339157e2bff598b'],False,"['protocol.py', 'test_client_server.py']"
567db4eca52008cd4401124e344ee916f8229d0e,Aymeric Augustin,2014-06-30T21:39:15+02:00,Avoid showing stack traces during test runs.,['48b9c0226dd4d770b92459b68d0ef073008bacf2'],False,['test_client_server.py']
c19008269801741af1f32ebf0f7fe1fe0658ead8,Aymeric Augustin,2014-06-30T21:43:21+02:00,Run the event loop a bit to avoid race conditions.,['567db4eca52008cd4401124e344ee916f8229d0e'],False,['test_client_server.py']
fdae6c828549a148345bc32aa6de8e10136ca035,Rui Abreu Ferreira,2014-06-18T09:05:33+01:00,"Add support for limiting message length.

Initial patch by Rui Abreu Ferreira, final patch by Aymeric Augustin.

Fix #28, #29.",['c19008269801741af1f32ebf0f7fe1fe0658ead8'],False,"['LICENSE', 'index.rst', 'exceptions.py', 'framing.py', 'protocol.py', 'test_framing.py', 'test_protocol.py']"
1f8bd3ade280a3d7e1254cee7a7379a96a247154,housleyjk,2014-09-29T13:11:42-06:00,Prevent incomplete task leak in recv.,['7e4ef005696a956def34fa735422ca4e1ef17197'],False,['protocol.py']
43d334f4e19e2a9755c44448b47fa8ff07e9b0fb,Aymeric Augustin,2014-11-03T22:07:08+01:00,"Improve handling of concurrent close from both sides.

This fixes random failures in the test suite.",['1520cc1f2d1310529fdb5164ddfced1e4ac1c080'],False,"['protocol.py', 'test_client_server.py', 'test_protocol.py']"
634c329958f5707a687f96d51106a9f17477d355,Aymeric Augustin,2014-11-03T23:00:56+01:00,"Second attempt at producing wheels.

Fix #35. Refs #25.",['43d334f4e19e2a9755c44448b47fa8ff07e9b0fb'],False,"['setup.cfg', 'setup.py']"
5b204ddec43cea65e53d184b7656fc4cae1d4071,Aymeric Augustin,2015-01-31T16:35:57+01:00,Fix compliance tests.,['67fa773d72b6b3888e86ae65f3d4f89ceb705198'],False,"['README.rst', 'test_client.py', 'test_server.py']"
d62a5f267116ccc575f645f5954d027dd3c41cb0,Aymeric Augustin,2015-01-31T16:41:42+01:00,"Support non-default event loop.

Fix #42.",['5b204ddec43cea65e53d184b7656fc4cae1d4071'],False,"['index.rst', 'client.py', 'protocol.py', 'server.py']"
0f1697fcfde2656b8a2b6a2f100dd99b7ec70bb1,Aymeric Augustin,2015-01-31T19:00:24+01:00,"Add support for subprotocols.

Fix #38.",['d62a5f267116ccc575f645f5954d027dd3c41cb0'],False,"['index.rst', 'client.py', 'protocol.py', 'server.py', 'test_client_server.py']"
e65f032116a1ee95f8e80b622362ee813f5158a9,Rémy HUBSCHER,2015-04-03T17:15:14+02:00,Fix #50 — Make sure protocol.recv() can be Cancelled without loosing messages.,['7d8191699a6d647c1b45e3e11681c5987437e5b5'],False,"['protocol.py', 'test_protocol.py']"
9469965a6552c038232ae987e473199451295730,Aymeric Augustin,2015-07-14T21:34:50+02:00,"The closing handshake can be initiated by the client.

I had misunderstood the RFC. It's the TCP closing handshake that should
be initiated by the server.

Fix #53.",['7d8191699a6d647c1b45e3e11681c5987437e5b5'],False,"['test_client.py', 'client.py', 'protocol.py']"
72bfb7af489001a50c78f9e2f79ec9748d30914f,Aymeric Augustin,2015-07-14T21:36:37+02:00,Minor fixes.,['9469965a6552c038232ae987e473199451295730'],False,['README.rst']
0a815f860550ac89eefd27d626d5b7d02543c48d,Aymeric Augustin,2015-07-14T22:02:39+02:00,"Document how to multiplex reads and writes.

Fix #48.",['e8a12dfc54ed23904a1926ef196523d1b07837c7'],False,['index.rst']
6ce37977296199aa888881b0bfd75ed0f67a2502,Aymeric Augustin,2015-07-14T22:39:38+02:00,"Allow customizing request or response HTTP headers.

Thanks @knutae for providing an initial patch.

Fix #47.",['0a815f860550ac89eefd27d626d5b7d02543c48d'],False,"['index.rst', 'client.py', 'server.py', 'test_client_server.py']"
a621764215c5abdd78808df7ec9bd1b3c265d39c,Aymeric Augustin,2015-07-14T23:02:19+02:00,Documented the fix for #50.,['8eca627048fd2b03f25d35035d651394f2ec7dff'],False,['index.rst']
23878bc5b0ad85d6a2cf6e7f9c80876b99916f23,Aymeric Augustin,2015-07-18T15:37:43+02:00,"Import collections.abc for Python 3.4.

Thanks @SzieberthAdam for the report and initial patch.

Fix #62.",['a621764215c5abdd78808df7ec9bd1b3c265d39c'],False,"['client.py', 'server.py']"
8e406194ed412b06a6c88ec9824684a06a41d3c1,Aymeric Augustin,2015-07-19T15:58:38+02:00,"Add a missing ""yield from"" in a test utility.

Since the result of this method was always yielded from, this bug didn't
have visible effects.",['23878bc5b0ad85d6a2cf6e7f9c80876b99916f23'],False,['test_protocol.py']
381a3641ba997a33e19acb73721e324c96d01635,Szieberth Ádám,2015-07-16T10:16:39+02:00,"Pass event loop explicitly to all asyncio objects

Fix #60.",['fb58aa61c8f77e73adb7e591e7a65acbf8470499'],False,"['client.py', 'protocol.py', 'server.py', 'test_client_server.py', 'test_framing.py', 'test_http.py', 'test_protocol.py']"
6a3ed1ecc6edb788a05783028af1d64dcd25f612,Aymeric Augustin,2015-07-19T16:59:09+02:00,Add flake8 and fix warnings.,['14473689ae0f92f7aee16868fd41665e3ad9aac0'],False,"['setup.cfg', 'tox.ini', '__init__.py', 'client.py', 'exceptions.py', 'handshake.py', 'protocol.py', 'server.py', 'test_client_server.py', 'test_framing.py', 'test_protocol.py', 'uri.py']"
3b170ad097db8a5b86d574572d283cf981c7b36b,Aymeric Augustin,2015-07-19T22:06:45+02:00,"Close sockets correctly in tests.

This prevents spurious ResourceWarnings on Python 3.4.",['c3a71a1405269db361b256af623daebf4202f338'],False,['test_client_server.py']
25aba2beceda000d89aab969fec96fc1678e6f6a,Aymeric Augustin,2015-07-20T14:12:20+02:00,Fix a test case and add another.,['1b90eb080a47e369ed01d4ff434d5c37f2a1561e'],False,['test_uri.py']
9638bee3b7890c48529e7b93f167d0fdbe14eff1,Aymeric Augustin,2015-07-20T14:48:59+02:00,Fix remaining flake8 warnings.,['739f9d1057cea1e0039b664bbf5f6e88138c46c6'],False,"['index.rst', 'test_protocol.py']"
25d8de0ab0e4c9ffda63997066ebd91959cb1d56,Aymeric Augustin,2015-07-20T15:42:18+02:00,"Provide access to HTTP headers as MIME messages.

Document the private API to acces them as a list of (name, value) pairs.

Fix #24.",['9638bee3b7890c48529e7b93f167d0fdbe14eff1'],False,"['index.rst', 'client.py', 'protocol.py', 'server.py', 'test_client_server.py']"
4bb82d95ae34592fcf861cdaf02faeca0c6a6249,Aymeric Augustin,2015-07-20T23:17:15+02:00,"Remove a misunderstanding of the specification.

As explained properly in the remainder of the library, clients are
allowed to start the WebSocket closing handshake. It's the TCP
connection that should be closed by the server (to allow reuse).",['7cb30eaa88fa0b1352d7cbcb0950c74d6cf88eac'],False,['client.py']
b6120037b71752443bddd683eaba620ef5ea5dab,Aymeric Augustin,2015-07-21T12:41:56+02:00,"Add receive_eof to match receive_frame.

Clarify how the connection close sequence works in asyncio transports.

Remove two tests for a sequence that cannot happen in practice (unless
the event loop runs exceedingly slow, in which case there isn't much we
can do). As explained in the docstring of receive_eof and TransportMock,
transports always close themselves and call connection_lost.",['56ad98fc1f0ba025edfa172f7b4caef31978d2d4'],False,['test_protocol.py']
dc711581a48e2f9b57dee98aecc716128654154e,Aymeric Augustin,2015-07-21T12:52:12+02:00,"Client is allowed to close the connection.

Remove more comments related to my misunderstanding of this point.",['b6120037b71752443bddd683eaba620ef5ea5dab'],False,['test_protocol.py']
8b0ab64c9b1c2664d01721fb7b328a024e2464cc,Aymeric Augustin,2015-07-22T10:25:15+02:00,"Large cleanup in the tests for closing scenarios.

Remove the echo() utility. Check sent frames and receive frames
explicitly instead.

Factor out the definition of close frames which are used by several
tests.

Separate setup from assertions.

Document tests that rely on timings.

Check that no unexpected frames are sent.

Run the same tests on the server and the client side.

Rewrite test_eof_received_timeout which I removed recently.

Remove test_close_after_cancelled_recv which is superseded by the more
general test_recv_cancelled.",['d1be44c579c1884e0ff676c8f2a1eeb11a446760'],False,"['index.rst', 'protocol.py', 'test_protocol.py']"
d4aaf8ca6754934f765ca0e6a20ff8b38db0e32f,Aymeric Augustin,2015-07-22T10:40:52+02:00,"Fix tests for sent frames.

The previous implementation silently ignored trailing data, which means
assertFrameSent + assertNoFrameSent didn't behave as one might expect.",['8b0ab64c9b1c2664d01721fb7b328a024e2464cc'],False,['test_protocol.py']
be439b5c28c81e5a43bc88c1f931a89dbf926c30,Aymeric Augustin,2015-07-22T13:23:30+02:00,"Don't send a close frame on a broken connection.

This fix is exercised by a test refactor I'm working on in parallel.",['88bb97de0fef710b5320c3a65e3ca6b6fd4195b3'],False,['protocol.py']
6c2667bde53086e9854d53d78a1608172227f409,Aymeric Augustin,2015-07-26T23:21:49+02:00,"Always update the state before yielding control.

Otherwise multiple close frames could be sent.

This fix is required by changes I'm making to the test suite and will
commit soon.",['bb8db1e5a16dbc8b77e2b1b2138eea52ed330e14'],False,['protocol.py']
65748576877f9520e3ac0394ecbbf87261d16035,Aymeric Augustin,2015-07-26T23:23:46+02:00,"Remove the expected_state parameter.

Since we now always set the state to CLOSING before sending a close
frame, it isn't needed anymore.",['68da42aff05a8e5640f02cfa3b2050f4bfe0d4c2'],False,['protocol.py']
66df21b6a8e45fceeb9234a2e64bc2c4cdfc5d37,Aymeric Augustin,2015-07-26T23:24:42+02:00,"Large-scale test refactor.

Back to 100% branch coverage.

* Delay invocation of protocol methods (connection_made, data_received,
  eof_received, connection_lost) with call_soon() to match what asyncio
  does. This enforces a higher level of asynchrony in tests.
* Use call_soon(...) instead of call_later(x * MS, ...) to schedule
  series of callbacks. asyncio will invoke them in order.
* Use a context manager instead of a pair of futures for timing tests.
* Factor out code that makes writes slow.
* Add a test for connection close during send to mirror the existing
  test for connection close during recv.",['65748576877f9520e3ac0394ecbbf87261d16035'],False,"['protocol.py', 'test_protocol.py']"
8be2e61b7889d6911ed342caefe22cfdb4bd692b,Aymeric Augustin,2015-07-26T23:40:48+02:00,"Close connection more efficiently on handshake errors.

This avoids a warning about an unclosed SSL socket in tests (at least).",['66df21b6a8e45fceeb9234a2e64bc2c4cdfc5d37'],False,"['client.py', 'protocol.py']"
e085d334b409f6e797da426a127b3680b8e21156,Aymeric Augustin,2015-07-27T12:20:48+02:00,"Remove lock protecting fail_connection.

Since we now always set the state to CLOSING before sending a close
frame, it isn't needed anymore.",['a16d30de2abf3fe3d241fcac672657fe213d8731'],False,"['protocol.py', 'test_protocol.py']"
88f067fdc04accd62b0664d83f744844b4f4578c,Aymeric Augustin,2015-07-28T22:22:04+02:00,"Set the close status code and reason more consistently.

Set them when the closing handshake is considered complete or aborted.",['471cbbc72760802f334fdf68e5c1c3ef54ca98eb'],False,"['index.rst', 'protocol.py', 'test_protocol.py']"
8e5a3954d62d01e2201aedaf4fe366d67e6af2c3,Aymeric Augustin,2015-08-07T15:05:14+02:00,"Close open connections on server shutdown.

Fix #64.",['5482cccab5be5aee7a80c959f3335697862477a6'],False,"['index.rst', 'protocol.py', 'server.py', 'test_client_server.py']"
a52cbbb1cf68b89f7690f1570ff6aa7721f8efe7,Aymeric Augustin,2015-08-07T23:14:23+02:00,"Wait on the handler task instead of the closing handshake.

Fix #64 (again).",['8e5a3954d62d01e2201aedaf4fe366d67e6af2c3'],False,['server.py']
93bad7d638db60d91cc3909fbc97b8923d0765e4,Aymeric Augustin,2015-08-08T13:01:08+02:00,"Fix test failures on Windows.

Fix #63.",['a52cbbb1cf68b89f7690f1570ff6aa7721f8efe7'],False,['test_protocol.py']
5666434e8d250a6b0731b6328ce389eb99eced1a,Aymeric Augustin,2015-08-09T22:05:53+02:00,"Close connections instead of failing them on shutdown.

This lets the client complete the closing handshake. Previously the TCP
connection was closed just after sending a close frame.

Fix #64 (again).",['93bad7d638db60d91cc3909fbc97b8923d0765e4'],False,['server.py']
2a41dd8a4bd6105e53dea6803872c79a7db969f5,Mike Putnam,2015-08-16T12:55:28-05:00,"Fix typo ""on top of""",['5666434e8d250a6b0731b6328ce389eb99eced1a'],False,"['README.rst', 'index.rst']"
7271c575ac4143881d7e914e324df5eefdbb527e,Aymeric Augustin,2015-08-16T21:03:55+02:00,"Merge pull request #67 from mikeputnam/fix-typo

Fix typo ""on top of""","['5666434e8d250a6b0731b6328ce389eb99eced1a', '2a41dd8a4bd6105e53dea6803872c79a7db969f5']",True,[]
bb2269a9b2d40801bc88fb62a455cb6cd3181256,Aymeric Augustin,2015-08-18T08:55:44+02:00,"Avoided TCP fragmentation of small frames.

Fix #68.",['7271c575ac4143881d7e914e324df5eefdbb527e'],False,"['index.rst', 'framing.py', 'test_framing.py']"
be26a070c7c37e0838410734466587a267d047c7,Aymeric Augustin,2015-08-18T13:28:41+02:00,"Add local/remote_address attributes on protocols.

Fix #66.",['bb2269a9b2d40801bc88fb62a455cb6cd3181256'],False,"['index.rst', 'protocol.py', 'test_protocol.py']"
ea5087c2a917fd6ec9a2e3954b28a548fd29c145,Aymeric Augustin,2015-08-25T23:01:19+02:00,"Tie registration with handle tasks' lifecycle.

Since the purpose of registering or unregistering is to keep a list of
active connection handlers, it makes sense to register when starting a
connection handler and unregister only when the connection handler is
about to terminate.

Fix #69.",['72f9b68b87395bdf598411398d07917b043dfc41'],False,['server.py']
be9852913637932351feb09729048eaa18ccf58d,Aymeric Augustin,2015-10-31T14:06:16+01:00,"Close connections correctly on Python 3.5.

* Counteract change in StreamReaderProtocol.eof_received()
* Ensure the transport is closed to fix resource warnings

Fix #76.",['212fed7b5d30314bcd5b466f339fa79e81c0075e'],False,['protocol.py']
46986ef80728c2aeef2a72795014803c9890c4ed,Aymeric Augustin,2015-10-31T18:31:33+01:00,"Improve docs with the alabaster theme and a logo.

Also split them across multiple pages. Fix #30.",['37e6234a5f4c9908827dbf2eb9b375cd7253ca52'],False,"['websockets.svg', 'api.rst', 'changelog.rst', 'cheatsheet.rst', 'conf.py', 'index.rst', 'intro.rst', 'license.rst', 'limitations.rst', 'pydoctheme.css', 'theme.conf']"
db9eb7033d81fba3c30711bf1c9d9635fc288a18,Aymeric Augustin,2015-10-31T19:33:16+01:00,"Add an HTML + JS example.

Fix #74.",['292cd17b6021e5239525303f3635af088c40e071'],False,"['intro.rst', 'client.py', 'server.py', 'time.html', 'time.py']"
fd33d297d836bf0acf22b793450be0bd00e9e391,Aymeric Augustin,2015-11-18T19:26:41+01:00,"Make tests for error conditions more robust.

This will prevent the tests from locking on Python 3.6, assuming that
the proposed fix for http://bugs.python.org/issue25593 is implemented.

https://groups.google.com/d/msg/python-tulip/r8nN53Fq_x0/8Z7BCdgsAAAJ

Thanks Guido for the patch.",['a8b098d30386c7a05dff59baf04ba12370a841c3'],False,"['test_client_server.py', 'test_protocol.py']"
